name,aliases,note,birth_label,birth_calendar_era,birth_start_year,birth_end_year,birth_is_approximate,death_label,death_calendar_era,death_start_year,death_end_year,death_is_approximate,regions,religions,sects,periods
アントン・チェーホフ,Anton Chekhov,Pantheon職業: Writer / 出生国: Russia / 出生地: Taganrog,,CE,1860,,false,,CE,1904,,false,,,,
ピウス11世,Pius XI,Pantheon職業: Religious Figure / 出生国: Italy / 出生地: Milan,,CE,1857,,false,,CE,1939,,false,,,,
エピクロス,Epicurus,Pantheon職業: Philosopher / 出生国: Greece / 出生地: Samos,,BCE,341,,false,,BCE,269,,false,,,,
ホー・チ・ミン,Ho Chi Minh,"Pantheon職業: Politician / 出生国: Vietnam / 出生地: Kim Liên, Nghệ An",,CE,1890,,false,,CE,1969,,false,,,,
ノストラダムス,Nostradamus,Pantheon職業: Occultist / 出生国: France / 出生地: Saint-Rémy-de-Provence,,CE,1503,,false,,CE,1566,,false,,,,
ジャラール・ウッディーン・ルーミー,Rumi,Pantheon職業: Writer / 出生国: Afghanistan / 出生地: Balkh,,CE,1207,,false,,CE,1273,,false,,,,
イサク,Isaac,Pantheon職業: Religious Figure / 出生国: Israel / 出生地: Canaan,,BCE,1900,,false,,BCE,1533,,false,,,,
ラムセス2世,Ramesses II,Pantheon職業: Nobleman / 出生国: Israel,,BCE,1303,,false,,BCE,1213,,false,,,,
オゴデイ,Ögedei Khan,Pantheon職業: Politician,,CE,1185,,false,,CE,1241,,false,,,,
ハンニバル,Hannibal,Pantheon職業: Politician / 出生国: Tunisia / 出生地: Carthage,,BCE,247,,false,,BCE,183,,false,,,,
エカチェリーナ2世,Catherine II of Russia,Pantheon職業: Nobleman / 出生国: Poland / 出生地: Szczecin,,CE,1729,,false,,CE,1796,,false,,,,
ペトラルカ,Petrarch,Pantheon職業: Writer / 出生国: Italy / 出生地: Arezzo,,CE,1304,,false,,CE,1374,,false,,,,
グレース・ケリー,Grace Kelly,Pantheon職業: Actor / 出生国: United States / 出生地: Philadelphia,,CE,1929,,false,,CE,1982,,false,,,,
ソロン,Solon,Pantheon職業: Politician / 出生国: Greece / 出生地: Athens,,BCE,638,,false,,BCE,558,,false,,,,
クフ,Khufu,Pantheon職業: Architect / 出生国: Egypt / 出生地: Cairo,,BCE,2700,,false,,BCE,2570,,false,,,,
ジョージ4世 (イギリス王),George IV of the United Kingdom,Pantheon職業: Politician / 出生国: United Kingdom / 出生地: St James's Palace,,CE,1762,,false,,CE,1830,,false,,,,
ハディージャ・ビント・フワイリド,Khadija bint Khuwaylid,Pantheon職業: Companion / 出生国: Saudi Arabia / 出生地: Mecca,,CE,556,,false,,CE,619,,false,,,,
アメリゴ・ヴェスプッチ,Amerigo Vespucci,Pantheon職業: Explorer / 出生国: Italy / 出生地: Republic of Florence,,CE,1454,,false,,CE,1512,,false,,,,
リチャード1世,Richard I of England,Pantheon職業: Politician / 出生国: United Kingdom / 出生地: Beaumont Palace,,CE,1157,,false,,CE,1199,,false,,,,
ヨシップ・ブロズ・チトー,Josip Broz Tito,Pantheon職業: Politician / 出生国: Croatia / 出生地: Kumrovec,,CE,1892,,false,,CE,1980,,false,,,,
ファーティマ,Fatima,Pantheon職業: Companion / 出生国: Saudi Arabia / 出生地: Mecca,,CE,604,,false,,CE,632,,false,,,,
マルコム・X,Malcolm X,"Pantheon職業: Social Activist / 出生国: United States / 出生地: Omaha, Nebraska",,CE,1925,,false,,CE,1965,,false,,,,
オノレ・ド・バルザック,Honoré de Balzac,Pantheon職業: Writer / 出生国: France / 出生地: Tours,,CE,1799,,false,,CE,1850,,false,,,,
ヴラド・ツェペシュ,Vlad the Impaler,Pantheon職業: Inspiration / 出生国: Romania / 出生地: Sighișoara,,CE,1431,,false,,CE,1476,,false,,,,
ペリクレス,Pericles,Pantheon職業: Politician / 出生国: Greece / 出生地: Athens,,BCE,494,,false,,BCE,429,,false,,,,
アン・ブーリン,Anne Boleyn,Pantheon職業: Companion / 出生国: United Kingdom / 出生地: Blickling Hall,,CE,1501,,false,,CE,1536,,false,,,,
ロナルド・レーガン,Ronald Reagan,"Pantheon職業: Politician / 出生国: United States / 出生地: Tampico, Illinois",,CE,1911,,false,,CE,2004,,false,,,,
アイソーポス,Aesop,Pantheon職業: Writer / 出生国: Bulgaria / 出生地: Mesembria,,BCE,620,,false,,BCE,564,,false,,,,
ヴィクトリア,Victoria,Pantheon職業: Politician / 出生国: United Kingdom / 出生地: Kensington Palace,,CE,1819,,false,,CE,1901,,false,,,,
メアリー2世 (イングランド女王),Mary II of England,Pantheon職業: Politician / 出生国: United Kingdom / 出生地: St James's Palace,,CE,1662,,false,,CE,1694,,false,,,,
プブリウス・セプティミウス・ゲタ,Geta,Pantheon職業: Politician / 出生国: Italy / 出生地: Rome,,CE,189,,false,,CE,211,,false,,,,
カリグラ,Caligula,Pantheon職業: Politician / 出生国: Italy,,CE,12,,false,,CE,41,,false,,,,
アンリ・マティス,Henri Matisse,Pantheon職業: Painter / 出生国: France / 出生地: Le Cateau-Cambrésis,,CE,1869,,false,,CE,1954,,false,,,,
ブルース・リー,Bruce Lee,Pantheon職業: Actor / 出生国: United States / 出生地: San Francisco,,CE,1940,,false,,CE,1973,,false,,,,
蔣介石,Chiang Kai-shek,Pantheon職業: Military Personnel / 出生国: China / 出生地: Xikou,,CE,1887,,false,,CE,1975,,false,,,,
レフ・トロツキー,Leon Trotsky,Pantheon職業: Politician / 出生国: Ukraine,,CE,1879,,false,,CE,1940,,false,,,,
アントワーヌ・ド・サン＝テグジュペリ,Antoine de Saint-Exupéry,Pantheon職業: Writer / 出生国: France / 出生地: Lyon,,CE,1900,,false,,CE,1944,,false,,,,
ガブリエル・ガルシア＝マルケス,Gabriel García Márquez,Pantheon職業: Writer / 出生国: Colombia / 出生地: Aracataca,,CE,1927,,false,,CE,2014,,false,,,,
カラカラ,Caracalla,Pantheon職業: Politician / 出生国: France / 出生地: Lugdunum,,CE,188,,false,,CE,217,,false,,,,
エディット・ピアフ,Édith Piaf,Pantheon職業: Singer / 出生国: France / 出生地: Paris,,CE,1915,,false,,CE,1963,,false,,,,
エレノア・ルーズベルト,Eleanor Roosevelt,Pantheon職業: Social Activist / 出生国: United States / 出生地: New York City,,CE,1884,,false,,CE,1962,,false,,,,
マイケル・ファラデー,Michael Faraday,Pantheon職業: Physicist / 出生国: United Kingdom / 出生地: Newington Butts,,CE,1791,,false,,CE,1867,,false,,,,
イブン・ルシュド,Averroes,"Pantheon職業: Philosopher / 出生国: Spain / 出生地: Córdoba, Spain",,CE,1126,,false,,CE,1198,,false,,,,
